Date,Open,High,Low,Close,Adj Close,Volume
2010-01-15,111.309998,111.500000,111.309998,111.360001,90.096054,67300
2010-01-19,111.320000,111.320000,111.199997,111.250000,90.007095,27100
2010-01-20,111.449997,111.589996,111.419998,111.459999,90.177010,121200
2010-01-21,111.339996,111.790001,111.290001,111.769997,90.427757,71000
2010-01-22,111.699997,111.870003,111.690002,111.830002,90.476341,85100
2010-01-25,111.669998,111.800003,111.669998,111.730003,90.395424,71900
2010-01-26,111.970001,111.980003,111.739998,111.870003,90.508698,46300
2010-01-27,111.989998,112.070000,111.610001,111.629997,90.314514,86800
2010-01-28,111.519997,111.769997,111.519997,111.769997,90.427757,37600
2010-01-29,111.629997,112.040001,111.519997,112.040001,90.646210,69500
2010-02-01,111.739998,111.739998,111.529999,111.629997,90.496277,209100
2010-02-02,111.699997,111.750000,111.599998,111.680000,90.536819,75600
2010-02-03,111.580002,111.620003,111.440002,111.440002,90.342201,71900
2010-02-04,111.830002,112.080002,111.750000,112.080002,90.861038,111900
2010-02-05,112.129997,112.519997,112.070000,112.339996,91.071831,66100
2010-02-08,112.150002,112.320000,112.129997,112.220001,90.974548,140300
2010-02-09,112.169998,112.279999,111.919998,111.980003,90.779984,47000
2010-02-10,112.019997,112.019997,111.629997,111.669998,90.528709,143400
2010-02-11,111.699997,111.739998,111.550003,111.699997,90.553017,89100
2010-02-12,111.930000,111.989998,111.870003,111.910004,90.723282,52800
2010-02-16,111.690002,112.099998,111.690002,112.010002,90.804291,62000
2010-02-17,111.860001,111.949997,111.550003,111.629997,90.496277,66100
2010-02-18,111.669998,111.669998,111.269997,111.400002,90.309792,55700
2010-02-19,111.250000,111.309998,111.110001,111.269997,90.204422,79900
2010-02-22,111.260002,111.360001,111.239998,111.300003,90.228752,17100
2010-02-23,111.480003,111.860001,111.400002,111.830002,90.658432,113700
2010-02-24,111.820000,111.959999,111.750000,111.800003,90.634064,73800
2010-02-25,112.230003,112.230003,112.040001,112.160004,90.925926,34800
2010-02-26,112.209999,112.389999,112.180000,112.260002,91.006958,114200
2010-03-01,112.180000,112.230003,112.059998,112.120003,91.058968,317900
2010-03-02,112.040001,112.230003,111.989998,112.220001,91.140228,164500
2010-03-03,112.070000,112.239998,112.040001,112.220001,91.140228,61300
2010-03-04,112.120003,112.320000,112.040001,112.250000,91.164574,243900
2010-03-05,111.959999,111.959999,111.750000,111.870003,90.855888,214300
2010-03-08,111.760002,111.809998,111.699997,111.739998,90.750351,109800
2010-03-09,111.970001,111.970001,111.800003,111.879997,90.864059,177700
2010-03-10,111.790001,111.790001,111.639999,111.709999,90.725945,38100
2010-03-11,111.650002,111.650002,111.489998,111.580002,90.620399,61800
2010-03-12,111.419998,111.720001,111.370003,111.589996,90.628510,54000
2010-03-15,111.639999,111.669998,111.519997,111.650002,90.677254,63400
2010-03-16,111.669998,111.970001,111.629997,111.930000,90.904640,29000
2010-03-17,111.949997,111.970001,111.769997,111.919998,90.896515,27800
2010-03-18,111.860001,111.860001,111.629997,111.669998,90.693497,83800
2010-03-19,111.480003,111.709999,111.459999,111.480003,90.539169,54700
2010-03-22,111.760002,111.760002,111.629997,111.750000,90.758438,118100
2010-03-23,111.809998,111.839996,111.639999,111.650002,90.677254,33200
2010-03-24,111.320000,111.360001,110.849998,110.919998,90.084396,92400
2010-03-25,110.889999,110.930000,110.510002,110.769997,89.962509,99100
2010-03-26,110.639999,110.980003,110.639999,110.940002,90.100563,53500
2010-03-29,110.989998,111.080002,110.860001,110.940002,90.100563,222900
2010-03-30,110.940002,110.989998,110.790001,110.980003,90.133133,47200
2010-03-31,111.099998,111.230003,111.070000,111.180000,90.295547,47800
2010-04-01,110.870003,110.919998,110.769997,110.820000,90.189720,120000
2010-04-05,110.309998,110.330002,109.980003,110.089996,89.595596,110300
2010-04-06,110.300003,110.389999,110.150002,110.309998,89.774696,86400
2010-04-07,110.349998,110.779999,110.320000,110.709999,90.100197,60100
2010-04-08,110.820000,110.919998,110.610001,110.639999,90.043251,45800
2010-04-09,110.570000,110.720001,110.430000,110.669998,90.067657,40600
2010-04-12,110.839996,110.980003,110.739998,110.879997,90.238556,45100
2010-04-13,111.150002,111.160004,110.889999,111.010002,90.344360,159500
2010-04-14,111.059998,111.089996,110.870003,110.889999,90.246704,88400
2010-04-15,110.879997,111.129997,110.820000,111.089996,90.409500,31200
2010-04-16,111.199997,111.570000,111.150002,111.529999,90.767578,59100
