timestamp,ticker,action,quantity,exchange,price,commission
2011-10-28 00:00:00,TLT,SLD,2488,ARCA,111.46,12.44
2011-10-31 00:00:00,IEI,BOT,2000,ARCA,121.31,10.0
2011-10-31 00:00:00,TLT,SLD,2391,ARCA,115.88,11.955
2011-11-02 00:00:00,IEI,SLD,2000,ARCA,121.63,10.0
2011-11-02 00:00:00,TLT,BOT,2391,ARCA,117.96,11.955
2011-11-03 00:00:00,IEI,SLD,2000,ARCA,121.47,10.0
2011-11-03 00:00:00,TLT,BOT,2382,ARCA,116.34,11.91
2011-11-04 00:00:00,IEI,BOT,2000,ARCA,121.56,10.0
2011-11-04 00:00:00,TLT,SLD,2382,ARCA,116.48,11.91
2011-11-08 00:00:00,IEI,SLD,2000,ARCA,121.41,10.0
2011-11-08 00:00:00,TLT,BOT,2393,ARCA,115.72,11.965
2011-11-09 00:00:00,IEI,BOT,2000,ARCA,121.68,10.0
2011-11-09 00:00:00,TLT,SLD,2393,ARCA,118.12,11.965
2011-11-10 00:00:00,IEI,SLD,2000,ARCA,121.56,10.0
2011-11-10 00:00:00,TLT,BOT,2383,ARCA,116.36,11.915
2011-11-11 00:00:00,IEI,BOT,2000,ARCA,121.34,10.0
2011-11-11 00:00:00,TLT,SLD,2383,ARCA,115.65,11.915
2011-11-14 00:00:00,IEI,BOT,2000,ARCA,121.64,10.0
2011-11-14 00:00:00,TLT,SLD,2361,ARCA,117.51,11.805
2011-11-15 00:00:00,IEI,SLD,2000,ARCA,121.55,10.0
2011-11-15 00:00:00,TLT,BOT,2361,ARCA,117.35,11.805
2011-11-22 00:00:00,IEI,BOT,2000,ARCA,121.75,10.0
2011-11-22 00:00:00,TLT,SLD,2287,ARCA,121.39,11.435
2011-11-23 00:00:00,IEI,SLD,2000,ARCA,121.88,10.0
2011-11-23 00:00:00,TLT,BOT,2287,ARCA,122.58,11.435
2011-11-25 00:00:00,IEI,SLD,2000,ARCA,121.66,10.0
2011-11-25 00:00:00,TLT,BOT,2297,ARCA,120.8,11.485
2011-11-28 00:00:00,IEI,BOT,2000,ARCA,121.68,10.0
2011-11-28 00:00:00,TLT,SLD,2297,ARCA,120.74,11.485
2011-11-30 00:00:00,IEI,SLD,2000,ARCA,121.43,10.0
2011-11-30 00:00:00,TLT,BOT,2349,ARCA,117.88,11.745
2011-12-01 00:00:00,IEI,BOT,2000,ARCA,121.31,10.0
2011-12-01 00:00:00,TLT,SLD,2349,ARCA,117.0,11.745
2011-12-02 00:00:00,IEI,BOT,2000,ARCA,121.55,10.0
2011-12-02 00:00:00,TLT,SLD,2333,ARCA,118.64,11.665
2011-12-05 00:00:00,IEI,SLD,2000,ARCA,121.47,10.0
2011-12-05 00:00:00,TLT,BOT,2333,ARCA,118.4,11.665
2011-12-06 00:00:00,IEI,SLD,2000,ARCA,121.45,10.0
2011-12-06 00:00:00,TLT,BOT,2358,ARCA,117.27,11.79
2011-12-07 00:00:00,IEI,BOT,2000,ARCA,121.67,10.0
2011-12-07 00:00:00,TLT,SLD,2358,ARCA,117.69,11.79
2011-12-08 00:00:00,IEI,BOT,2000,ARCA,121.91,10.0
2011-12-08 00:00:00,TLT,SLD,2330,ARCA,119.16,11.65
2011-12-09 00:00:00,IEI,SLD,2000,ARCA,121.71,10.0
2011-12-09 00:00:00,TLT,BOT,2330,ARCA,116.71,11.65
2011-12-12 00:00:00,IEI,BOT,2000,ARCA,121.82,10.0
2011-12-12 00:00:00,TLT,SLD,2351,ARCA,118.01,11.755
2011-12-13 00:00:00,IEI,SLD,2000,ARCA,121.93,10.0
2011-12-13 00:00:00,TLT,BOT,2351,ARCA,119.11,11.755
2011-12-14 00:00:00,IEI,BOT,2000,ARCA,122.0,10.0
2011-12-14 00:00:00,TLT,SLD,2289,ARCA,121.36,11.445
2011-12-15 00:00:00,IEI,SLD,2000,ARCA,121.91,10.0
2011-12-15 00:00:00,TLT,BOT,2289,ARCA,120.91,11.445
2011-12-16 00:00:00,IEI,BOT,2000,ARCA,122.23,10.0
2011-12-16 00:00:00,TLT,SLD,2275,ARCA,122.32,11.375
2011-12-20 00:00:00,IEI,SLD,2000,ARCA,121.93,10.0
2011-12-20 00:00:00,TLT,BOT,2275,ARCA,120.78,11.375
2011-12-21 00:00:00,IEI,SLD,2000,ARCA,121.69,10.0
2011-12-21 00:00:00,TLT,BOT,2327,ARCA,119.1,11.635
2011-12-22 00:00:00,IEI,BOT,2000,ARCA,121.74,10.0
2011-12-22 00:00:00,TLT,SLD,2327,ARCA,119.6,11.635
2011-12-23 00:00:00,IEI,SLD,2000,ARCA,121.45,10.0
2011-12-23 00:00:00,TLT,BOT,2338,ARCA,118.27,11.69
2011-12-27 00:00:00,IEI,BOT,2000,ARCA,121.34,10.0
2011-12-27 00:00:00,TLT,SLD,2338,ARCA,118.45,11.69
2011-12-28 00:00:00,IEI,BOT,2000,ARCA,121.66,10.0
